idx,true_label,pred_label,confidence,word_count,text
1,negative,positive,0.9087,80,couple friend visited video shop year back one mood rent cheesy non seen flick friend grabbed head family greeted head sitting wheelchair well set laughing decided bet see would one desk pay movie well guessed never embarrised life got home put rolled floor laughing min funniest film world cant reme
2,negative,positive,0.8028,309,rating mini series approached well aware last six month sci channel continued pepper show ad confess felt growing unease learned work cinematic art stood test time different people see different thing regard people think battlestar galactica remember different thing chromium warrior oscillating red 
7,negative,positive,0.7001,350,scooby doo undoubtedly one simple successful beloved cartoon character world happens everywhere done everything formula switch right wrong stop production let rest decade run keeping core success intact say stick formula part add particular flavour what's new scooby doo worked want back classic scoo
23,negative,positive,0.8847,59,much looked forward movie good family movie however michael landon editing team better job editing movie would much better many scene context hope another movie series good another one made beg take better care editing story place seem center unfortunate movie series great enjoy story willie missy g
29,negative,positive,0.701,69,today visited athenean cinema two kid year old payed euro total not mention gas popcorn soda asked return special glass leaving theater forced watch could great movie masterpiece proved sick cold war like propaganda movie like none seen last year supposed movie child heaven's name average working gr
30,positive,negative,0.2542,167,short part four short cinema journal film rented netflix appears originally monthly film series people like mediocre modern short film love dvd chock full commercial far tried two journal's dvd felt enraged horrible way viewer need navigate disk order see film talk produced overly complicated way co
46,positive,negative,0.2141,61,people appreciate magical element ro set series apart fact producer actually decided dress actor proper period clothes armour not anachronistic feathered cap multi coloured tights plate armour really writing comment earlier poster's article michael praed not leave ro jules verne year two series yup 
65,positive,negative,0.3658,71,return lost world filmed back back version lost world sequel five people lead challenger return plateau group started drilling oil threatening destroy land gomez something manage defeat drillers plateau saved much delight native like lost world dinosaur see made rubber include rex ankylosaurus john 
66,negative,positive,0.9324,89,yoke's undoubtedly controversial film stooges' year short reason understandable today's standard film considered racist reason rarely shown ever television let state record japanese seen film not soldier japanese american sent relocation center world war treated shown evil enemy film account includi
78,positive,negative,0.4833,72,zero day lead think even think two boy young men would commit mutual suicide via slaughtering classmate capture must beyond bizarre mode two human decided withdraw common civility order define mutual world via coupled destruction not perfect movie given money time filmmaker actor remarkable product 
81,negative,positive,0.9142,200,star rating saturday night friday night friday morning sunday night monday morning ray ray winstone criminal past problem alcohol forming drug habit making paranoid prone domestic violence wife valerie kathy burke try hold family together end coming like doormat meanwhile mother janet laila morse aw
84,negative,positive,0.5129,76,necessarily ridiculous film version literary classic moby dick john barrymore captain ahab fall love pastor's daughter joan bennett brother derek rival bennett's affection barrymore loses leg whaling accident bennett reject must slay whale win bennett back several scene may thrilled theater audience
90,negative,positive,0.9342,133,day speak japanese cinema folk talk rashomon seven ronin ran mass japanese cinema mean monster grown love destroying japanese city lot time battle first greatest godzilla who's come back dozen time film faced three headed hydra like monster outer space ghidrah oddly enough keeping time special effec
134,negative,positive,0.5981,108,film gross misrepresentation orthodox lifestyle practice never jewish court enforce divorce childless couple although concept exists jewish law condition numerous actually ever take place childless couple find difficult cope childlessness community child important part life nowhere rejected communit
146,positive,negative,0.2593,32,visuals effect par original film provide lot entertainment even storyline essentially first two film also seems lot erotically charged remember film big fan flying prehensile hair tongue reach way stomach like film
148,positive,negative,0.2209,166,saw two movie weekend one kaal waqt movie made bollywood world apart fundamental difference story director vipul shaw made indelible mark ankhen one best comedy hindi movie casting charecteres perfect story apparently taken gujerati play awesome treatment superb exception bollywood movie put togethe
155,negative,positive,0.5816,49,fine performance art direction not good movie make movie grim depressing could feel absolutely joy happy ending involving union strike attempt humor involving lake's pregnancy absolutely disastrous movie involving baldwin brother already strike positive note lang still one america's great underrated
158,positive,negative,0.1729,47,ask got gun remember taught mark's mindset con gun blank provided beginning patient come back end supposed see drive away red convertible lead gang splitting thousand patient con beginning mantegna not die end gun blank enough spoiler people giving high rating extremely original hidden ending con au
168,positive,negative,0.1513,87,goebbels motivation backing not explored aftermath stalingrad reich decided 'total war' referred film part use woman war effort germany not previously done great extent massacre woman would faced goebbels public relation disaster massive proportion preference make problem away quietly possible basis
178,negative,positive,0.5358,129,vicious little film horrendous low rating come two main reason first animal snuff film find whole concept vile turn stomach filmed hundred year ago hope evolved something little humane compassionate film complete utter exploitation made cash sensational aspect film subject historical interest aside 
180,positive,negative,0.316,200,love japanese monster movie love action packed battle pitting alien invader intent upon conquering earth giant robot armory super weaponry alien emporer guillotine planet gargoyle army thug called course gargoyle gang well endless supply immense hostile creature routinely loosed upon earth smash bui
186,negative,positive,0.9996,56,one best celebrity's reality show ever saw see concert see life britney love five episode always surprised britney subject show think people watch show great person really funny really gentle love fan see love work give fed real jerk seem like britney make second season great show show people britne
202,positive,negative,0.0921,171,remember practically blank slate came movie hollywood transition patriotic war movie noir two reel oaters etc movie message blackboard jungle waterfront folk might think improvement mogul said want send message call western union right psychological thriller less entertainment kind remote therapy on
212,negative,positive,0.7607,53,know watched minute film can't really describe great mean concept alone original intriguing not let mass academy award winning people involved plus academy award nominated director can't miss mean imagine middle night not sleepy yet film come watch shocked brilliant original great feel half hour lat
213,negative,positive,0.6971,87,certainly not without merit already writer director preston sturges experimenting unusual cinematic effect telling story creating broadly drawn yet distinctive character situation writing clever sometimes unexpectedly wise compassionate dialogue wonder coen brothers' next movie going homage sturges 
220,negative,positive,0.5213,53,nice anecdote one comment mumbai two week release movie approached white dub line movie recording studio speak german well kindly asked dubbing scene english otherwise would confusing indian audience therefore german movie actually speak english funny enough multiple character would want actually sp
225,positive,negative,0.4347,80,tough portray tagore novel along cinematographic line forget obscure production first time chokher bali done grand scale overall set looked fantastic right touch making successful period drama prasenjit used crass commercial stuff made good effort saw bengali version found aishwariya's voice dubbed 
237,positive,negative,0.2468,107,saw show year ago dam funny first time saw playing etv estonian television started like bad show bad time hyde like cool guy like sing frank sinatra come stupid idea got glass brown like there's fez group pervert know alone want get laid badly even bos one episode india michael stupidest guy whole g
240,positive,negative,0.4832,88,first word come mind watching movie beauty beauty around actors' play andie superb always well designed shot authors' red line idea love think kenny's character white spot three womens' otherwise boring predictable life interaction make andie's character living entertaining could possibly gone becam
256,positive,negative,0.3191,102,presenting lily mar mgm cute film opinion could better judy garland great always scene film seem place romance van heflin develops quickly mean one minute ready beat butt next minute fall love believe production film editing script even though photography great scenery nice costume nice well could l
265,positive,negative,0.2051,75,got advance screening wow movie hilarious possibly better first one least equal like jackass really unnecessary amount male nudity way first stay far far away dig whole jackass thing movie not disappoint toro totter greatest invention ever review long enough else say poor poor dunn really kick crap 
267,negative,positive,0.586,89,husband intrigued spectacle strong willed southern lady messy personal life solves crime lapd first season must see unfortunately story personal life second season became tedious unworthy strong character stopped watching husband troubled episode try hide mother fact shacked deal breaker episode hid
